OBJECTID,PlatformName_1,DateTime_1,Speed_km_hr_1,Distance_1_sec_1,BEARING,POINT_X,POINT_Y,POINT_Z,PlatformTypeName
1,Red3,8/15/2019 12:24:48,30.000000000000000,8.333333333333334,229.513924685595754,-104.789457522343767,41.126029301936569,0.000000000000000,Vehicle
2,Badger,8/15/2019 12:24:48,60.000000000000000,16.666666666666668,70.843156949746103,-104.837886666932860,41.123819142790225,0.000000000000000,Vehicle
3,West Side 1,8/15/2019 12:24:48,800.000000000000000,222.222222222222229,275.385179488457084,-104.794495890712398,41.154898125703994,0.000000000000000,Aircraft
4,Horizon 1,8/15/2019 12:24:48,800.000000000000000,222.222222222222229,283.252203716859071,-104.280508193948293,40.975673995312000,0.000000000000000,Aircraft
5,RedTower2,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,298.060890706302416,-104.782823520189652,41.128830614313486,0.000000000000000,Foot
6,Red6,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,243.220322006880764,-104.787589791603210,41.129428849337195,0.000000000000000,Foot
7,RedTower1,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,247.757752613827591,-104.789952489158580,41.124164481659093,0.000000000000000,Foot
8,RedTower7,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,265.112077353922587,-104.793264736320623,41.127942632002664,0.000000000000000,Foot
9,Red5,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,276.068819666561637,-104.792670394536088,41.125594552651926,0.000000000000000,Foot
10,Devils 1,8/15/2019 12:24:48,60.000000000000000,16.666666666666668,78.961569847676898,-104.813485101475578,41.117653192983688,0.000000000000000,Vehicle
11,Goblins 1,8/15/2019 12:24:48,60.000000000000000,16.666666666666668,181.119757753833085,-104.732178852678132,41.173186648997302,0.000000000000000,Vehicle
12,RedTower4,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,2.261379763445944,-104.786388207245508,41.129499474114454,0.000000000000000,Foot
13,RedTower8,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,268.173011646408213,-104.795344746614035,41.125476866062890,0.000000000000000,Foot
14,RedTower5,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,256.708596862716547,-104.789002254132910,41.129691555044296,0.000000000000000,Foot
15,Bold Venture 1,8/15/2019 12:24:48,60.000000000000000,16.666666666666668,103.546784119407548,-104.787886538487925,41.129903286206606,0.000000000000000,Vehicle
16,RedTower6,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,263.328047715988646,-104.790765719443911,41.129600406733061,0.000000000000000,Foot
17,Red4,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,77.352428643375859,-104.789158120022009,41.127810552435001,0.000000000000000,Foot
18,Red1,8/15/2019 12:24:48,30.000000000000000,8.333333333333334,172.481645784381897,-104.792947252592725,41.127655630027178,0.000000000000000,Vehicle
19,RedTower3,8/15/2019 12:24:48,15.000000000000000,4.166666666666667,291.765144922487934,-104.784418322129866,41.129276931648931,0.000000000000000,Foot
20,Red2,8/15/2019 12:24:48,40.000000000000000,11.111111111111111,77.996581126150062,-104.785317097732360,41.127024834725205,0.000000000000000,Vehicle
21,Badger,8/15/2019 12:24:49,60.000000000000000,16.666666666666668,71.779487296351036,-104.837745238859682,41.123856152653950,0.000000000000000,Vehicle
