OBJECTID,DateTime,PlatformType,Speed_km_hr,Distance_1_sec,PlatformName,DateTimeSim,BEARING,POINT_X,POINT_Y,POINT_Z
1,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:43,238.522710971625145,-67.124108355669946,18.495872980645075,0.000000000000000
2,,6,60.000000000000000,16.666666666666668,u""Badger1"",9/15/2020 10:05:43,0.000000000000000,-67.135607766031967,18.496355599013349,0.000000000000000
3,,5,60.000000000000000,16.666666666666668,u""Mako1"",9/15/2020 10:05:43,307.354419180110597,-67.108369653742457,18.515606235596124,0.000000000000000
4,,4,40.000000000000000,11.111111111111111,u""Neptune1"",9/15/2020 10:05:43,341.783562031853705,-67.026115536989565,18.509810328910159,0.000000000000000
5,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:44,238.522710971625145,-67.125845950051655,18.494941181925604,0.000000000000000
6,,5,60.000000000000000,16.666666666666668,u""Mako1"",9/15/2020 10:05:44,307.354419180110597,-67.108489353336040,18.515691510856904,0.000000000000000
7,,4,40.000000000000000,11.111111111111111,u""Neptune1"",9/15/2020 10:05:44,341.783562031853705,-67.026146561201102,18.509900290499033,0.000000000000000
8,,6,60.000000000000000,16.666666666666668,u""Badger1"",9/15/2020 10:05:44,0.000000000000000,-67.135607766031967,18.496497583769703,0.000000000000000
9,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:45,246.320582604528965,-67.127616831527178,18.494067554311261,0.000000000000000
10,,5,60.000000000000000,16.666666666666668,u""Mako1"",9/15/2020 10:05:45,305.595624227347571,-67.108609739242397,18.515775914668449,0.000000000000000
11,,4,40.000000000000000,11.111111111111111,u""Neptune1"",9/15/2020 10:05:45,341.998486610835130,-67.026177407546257,18.509990306558606,0.000000000000000
12,,6,60.000000000000000,16.666666666666668,u""Badger1"",9/15/2020 10:05:45,25.720679969684284,-67.135607766031967,18.496639569260257,0.000000000000000
13,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:46,248.267840649321698,-67.129417420307846,18.493250332646131,0.000000000000000
14,,5,60.000000000000000,16.666666666666668,u""Mako1"",9/15/2020 10:05:46,305.151624171622586,-67.108730806071634,18.515859438513907,0.000000000000000
15,,4,40.000000000000000,11.111111111111111,u""Neptune1"",9/15/2020 10:05:46,341.998486610835130,-67.026208075126675,18.510080377088858,0.000000000000000
16,,6,60.000000000000000,16.666666666666668,u""Badger1"",9/15/2020 10:05:46,25.720679969684284,-67.135606509288095,18.496781282021832,0.000000000000000
17,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:47,250.288982553722207,-67.131245520011404,18.492490034008238,0.000000000000000
18,,5,60.000000000000000,16.666666666666668,u""Mako1"",9/15/2020 10:05:47,304.705524254281329,-67.108852549332141,18.515942073024622,0.000000000000000
19,,4,40.000000000000000,11.111111111111111,u""Neptune1"",9/15/2020 10:05:47,342.429503206019547,-67.026238564840725,18.510170502941435,0.000000000000000
20,,6,60.000000000000000,16.666666666666668,u""Badger1"",9/15/2020 10:05:47,25.720679969684284,-67.135541534102700,18.496909199695462,0.000000000000000
21,,4,40.000000000000000,11.111111111111111,u""Neptune1"",9/15/2020 10:05:48,342.537631693385208,-67.026268875790052,18.510260682412667,0.000000000000000
22,,5,60.000000000000000,16.666666666666668,u""Mako1"",9/15/2020 10:05:48,304.258368589979113,-67.108974964532393,18.516023809683720,0.000000000000000
23,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:48,252.407044297876922,-67.133099799333792,18.491789082910731,0.000000000000000
24,,6,60.000000000000000,16.666666666666668,u""Badger1"",9/15/2020 10:05:48,25.720679969684284,-67.135476558917276,18.497037117273575,0.000000000000000
25,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:49,254.646375578979871,-67.134978985361400,18.491150588804690,0.000000000000000
26,,4,40.000000000000000,11.111111111111111,u""Neptune1"",9/15/2020 10:05:49,342.645913841803008,-67.026299006178036,18.510350915502375,0.000000000000000
27,,5,60.000000000000000,16.666666666666668,u""Mako1"",9/15/2020 10:05:49,303.809533477033142,-67.109098046282469,18.516104641678020,0.000000000000000
28,,6,60.000000000000000,16.666666666666668,u""Badger1"",9/15/2020 10:05:49,25.720519451359507,-67.135411583731880,18.497165034756090,0.000000000000000
29,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:50,257.033698941356874,-67.136881758468292,18.490578398902333,0.000000000000000
30,,5,60.000000000000000,16.666666666666668,u""Mako1"",9/15/2020 10:05:50,303.359412458081806,-67.109221790090800,18.516184558787014,0.000000000000000
31,,6,60.000000000000000,16.666666666666668,u""Badger1"",9/15/2020 10:05:50,25.720519451359507,-67.135346608546470,18.497292950439302,0.000000000000000
32,,4,40.000000000000000,11.111111111111111,u""Neptune1"",9/15/2020 10:05:50,342.754566644563909,-67.026328957801312,18.510441203062420,0.000000000000000
33,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:51,259.370625892694420,-67.138806637331598,18.490077158664203,0.000000000000000
34,,6,60.000000000000000,16.666666666666668,u""Badger1"",9/15/2020 10:05:51,25.720519451359507,-67.135281633361060,18.497420867730742,0.000000000000000
35,,4,40.000000000000000,11.111111111111111,u""Neptune1"",9/15/2020 10:05:51,342.862505896735456,-67.026358729761554,18.510531543388971,0.000000000000000
36,,5,60.000000000000000,16.666666666666668,u""Mako1"",9/15/2020 10:05:51,302.907602934651550,-67.109346189669182,18.516263555049335,0.000000000000000
37,,1,800.000000000000000,222.222222222222229,u"" Sparrow1"",9/15/2020 10:05:52,260.678406451085777,-67.140751843285955,18.489652397840221,0.000000000000000
